big,big_st,big_end,peas,peas_st,peas_end,toy,toy_st,toy_end,speakerID,native_language,birth_place,birth_country,other_languages,age,sex,english_onset_age,english_method,english_residence,english_residence_length,sound_file_no,L2_igbo,L2_swahili,L2_fijian,L2_antigua,L2_creole,L2_american,L2_gaelic,L2_vietnamese,L2_dutch,L2_none,L2_min,L2_french,L2_japanese,L2_esperanto,L2_yiddish,L2_appolo,L2_baoule,L2_arabic,L2_english,"L2_greek,",L2_hindi-urdu,L2_italian,L2_wolof,L2_tamil,L2_asl,L2_ulster,L2_polish,L2_ga,L2_twi,L2_hakka,L2_russian,L2_banganthe,L2_bassa,L2_welsh,L2_malay,L2_mina,L2_indonesian,L2_farsi,L2_irish,L2_chinese,L2_patois,L2_haitian,L2_german,L2_pidgin,L2_maori,L2_sign,L2_maltese,L2_hebrew,L2_tagalog,L2_slovenian,L2_tshiluba,L2_zulu,L2_hokkien,L2_lingala,L2_tok,L2_grebo,L2_hainanese,L2_losso,L2_urdu,L2_dong,L2_taiwanese,L2_pulaar,L2_kikongo,L2_norwegian,L2_spanish,L2_krio,L2_korean,L2_ancient,L2_bambara,L2_latin,L2_mongolian,L2_scots,L2_ewe,L2_afrikaans,L2_swedish,L2_danish,L2_yoruba,L2_azerbaijani,L2_finnish,L2_hindi,L2_kabye,L2_tongan,L2_cotocoli,L2_moore,L2_and,L2_punjabi,L2_mandarin,L2_cantonese,L2_language,L2_songhay,L2_koine,L2_thai,L2_greek,L2_barbuda,L2_pisin,L2_portuguese
-102.53168012306091,16.894771264213496,16.792239584090435,65.96217469,8.567485325,8.6334475,32.86770991,17.13087201,17.16373972,speakerID_179,french  (fra),"st. laurent d'onay, france",france,spanish,20,female,12.0,academic,usa,0.4,french1.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_180,french  (fra),"tunis, tunisia",tunisia,arabic,19,male,14.0,academic,usa,0.5,french2.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-112.71555776637499,17.047921135151892,16.935205577385517,18.33301508,8.169235535,8.18756855,52.41398552,17.39337658,17.44579056,speakerID_181,french  (fra),"nice, france",france,german,22,female,11.0,academic,usa,0.2,french3.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_182,french  (fra),"abidjan, ivory coast",ivory coast,appolo baoule,31,female,14.0,academic,usa,9.0,french4.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_183,french  (fra),"douala, cameroon",cameroon,pidgin banganthe,36,female,11.0,academic,usa,4.0,french5.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_184,french  (fra),"booue, gabon",gabon,none,26,female,13.0,academic,usa,1.0,french6.mp3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_185,french  (fra),"rimouski, quebec, canada",canada,none,18,male,5.0,academic,canada,18.0,french7.mp3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_186,french  (fra),"ghent, belgium",belgium,german dutch italian,66,male,16.0,academic,,0.0,french8.mp3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_412,french  (gcf),"lamentin, martinique",martinique,spanish creole,21,male,11.0,academic,,0.0,french9.mp3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-75.23025167637343,14.756473896491844,14.68124364481547,32.34598866,6.691560405,6.723906394,75.91898776,14.93166229,15.00758127,speakerID_500,french  (fra),"bordeaux, france",france,spanish german,31,male,10.0,academic,ireland,1.0,french10.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
